Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
04-Feb-2019,"1,141.420000",+22.800000,+2.038226%,"1,119.010000","1,117.510000","1,142.340000","3,920,591","4,433,880,401.414600"
05-Feb-2019,"1,151.870000",+10.450000,+0.915526%,"1,129.630000","1,123.600000","1,152.770000","4,114,790","4,678,819,400.111500"
06-Feb-2019,"1,122.890000",-28.980000,-2.515909%,"1,149.270000","1,118.360000","1,154.000000","2,412,820","2,726,289,063.884300"
07-Feb-2019,"1,105.910000",-16.980000,-1.512169%,"1,111.820000","1,093.590000","1,111.990000","1,914,877","2,110,609,913.876500"
08-Feb-2019,"1,102.380000",-3.530000,-0.319194%,"1,094.880000","1,094.240000","1,105.095000","1,088,327","1,197,547,671.240900"
11-Feb-2019,"1,102.120000",-0.260000,-0.023585%,"1,103.750000","1,100.000000","1,113.430000","924,881","1,021,140,144.164400"
12-Feb-2019,"1,127.580000",+25.460000,+2.310093%,"1,111.010000","1,111.010000","1,132.860000","1,751,771","1,972,552,114.924200"
13-Feb-2019,"1,128.630000",+1.050000,+0.093120%,"1,133.040000","1,126.000000","1,142.849600","1,402,087","1,590,534,262.606900"
14-Feb-2019,"1,129.200000",+0.570000,+0.050504%,"1,125.000000","1,117.090000","1,136.130000","1,055,297","1,190,873,338.781400"
15-Feb-2019,"1,119.630000",-9.570000,-0.847503%,"1,139.300000","1,116.720000","1,139.300000","1,391,348","1,562,950,060.315200"
19-Feb-2019,"1,126.510000",+6.880000,+0.614489%,"1,116.640000","1,116.640000","1,129.640000","1,099,259","1,237,508,521.093700"
20-Feb-2019,"1,120.590000",-5.920000,-0.525517%,"1,128.880000","1,111.750000","1,130.930000","1,204,533","1,352,413,005.540500"
21-Feb-2019,"1,104.210000",-16.380000,-1.461730%,"1,118.780000","1,097.980000","1,119.150000","1,663,980","1,838,147,154.828200"
22-Feb-2019,"1,116.560000",+12.350000,+1.118447%,"1,109.700000","1,100.500000","1,117.250000","1,471,783","1,636,960,791.161100"
25-Feb-2019,"1,117.330000",+0.770000,+0.068962%,"1,121.930000","1,114.110000","1,125.400000","1,310,362","1,466,654,250.844200"
26-Feb-2019,"1,122.010000",+4.680000,+0.418856%,"1,114.370000","1,106.700000","1,126.435000","1,751,261","1,958,250,791.684300"
27-Feb-2019,"1,122.890000",+0.880000,+0.078431%,"1,114.010000","1,108.560000","1,125.730000","1,104,881","1,236,465,532.282700"
28-Feb-2019,"1,126.550000",+3.660000,+0.325945%,"1,119.000000","1,118.410000","1,133.990000","1,371,355","1,545,941,257.229300"
01-Mar-2019,"1,148.520000",+21.970000,+1.950202%,"1,131.000000","1,131.000000","1,150.000000","1,704,258","1,949,608,063.135900"
04-Mar-2019,"1,153.420000",+4.900000,+0.426636%,"1,154.560000","1,138.250000","1,165.520000","1,774,467","2,044,264,970.390000"
05-Mar-2019,"1,169.190000",+15.770000,+1.367238%,"1,156.000000","1,153.020000","1,176.489900","2,004,723","2,338,230,690.756000"
06-Mar-2019,"1,164.940000",-4.250000,-0.363500%,"1,171.760000","1,163.050000","1,174.740000","1,180,052","1,377,885,919.601600"
07-Mar-2019,"1,150.850000",-14.090000,-1.209504%,"1,160.500000","1,141.715000","1,163.580000","1,504,328","1,731,174,410.859600"
08-Mar-2019,"1,149.970000",-0.880000,-0.076465%,"1,133.900000","1,130.200000","1,153.450400","1,184,732","1,356,611,320.283000"
11-Mar-2019,"1,179.260000",+29.290000,+2.547023%,"1,152.000000","1,151.570000","1,179.910000","1,501,633","1,759,894,217.046700"
12-Mar-2019,"1,197.250000",+17.990000,+1.525533%,"1,182.300000","1,182.300000","1,205.710000","2,110,979","2,530,106,445.384100"
13-Mar-2019,"1,199.060000",+1.810000,+0.151180%,"1,205.930000","1,197.910000","1,207.123400","1,294,354","1,557,085,298.191000"
14-Mar-2019,"1,192.530000",-6.530000,-0.544593%,"1,199.020000","1,191.230000","1,204.700000","1,365,072","1,632,899,082.999400"
15-Mar-2019,"1,190.300000",-2.230000,-0.186997%,"1,198.000000","1,187.010000","1,201.725000","2,593,338","3,094,183,814.400400"
18-Mar-2019,"1,188.550000",-1.750000,-0.147022%,"1,189.690000","1,181.476200","1,194.950000","1,222,203","1,452,103,155.408400"
19-Mar-2019,"1,202.460000",+13.910000,+1.170334%,"1,191.720000","1,189.456400","1,203.405000","1,489,407","1,783,515,153.103100"
20-Mar-2019,"1,226.430000",+23.970000,+1.993414%,"1,201.400000","1,199.590000","1,229.990000","2,075,442","2,527,915,326.595400"
21-Mar-2019,"1,236.130000",+9.700000,+0.790913%,"1,220.000000","1,216.575000","1,236.440000","1,407,480","1,731,304,436.282100"
22-Mar-2019,"1,207.650000",-28.480000,-2.303965%,"1,228.850000","1,206.000100","1,233.630000","1,721,133","2,090,592,838.065400"
25-Mar-2019,"1,197.380000",-10.270000,-0.850412%,"1,199.560000","1,190.003400","1,209.440000","1,378,849","1,653,472,481.285300"
26-Mar-2019,"1,189.840000",-7.540000,-0.629708%,"1,205.190000","1,181.760000","1,207.650000","1,537,606","1,834,438,913.520200"
27-Mar-2019,"1,178.010000",-11.830000,-0.994251%,"1,191.920000","1,164.230000","1,191.920000","1,471,402","1,730,806,462.854500"
28-Mar-2019,"1,172.270000",-5.740000,-0.487262%,"1,175.500000","1,163.430000","1,177.250000","1,120,122","1,311,825,728.693200"
29-Mar-2019,"1,176.890000",+4.620000,+0.394107%,"1,180.180000","1,166.380000","1,183.970000","1,544,615","1,815,273,286.005600"
01-Apr-2019,"1,198.980000",+22.090000,+1.876981%,"1,187.540000","1,186.360000","1,200.200000","1,385,595","1,656,903,316.954800"
02-Apr-2019,"1,205.540000",+6.560000,+0.547132%,"1,200.050000","1,191.240000","1,205.810000","914,413","1,098,197,618.304200"
03-Apr-2019,"1,210.810000",+5.270000,+0.437148%,"1,212.700000","1,205.075000","1,220.600000","1,109,614","1,345,219,479.909900"
04-Apr-2019,"1,219.450000",+8.640000,+0.713572%,"1,211.290000","1,209.040000","1,220.550000","1,051,089","1,279,640,320.207200"
05-Apr-2019,"1,211.450000",-8.000000,-0.656033%,"1,219.300000","1,210.030000","1,220.390000","1,001,044","1,215,533,512.005300"
08-Apr-2019,"1,208.280000",-3.170000,-0.261670%,"1,211.110000","1,204.695000","1,213.950000","1,087,588","1,314,319,007.385800"
09-Apr-2019,"1,202.690000",-5.590000,-0.462641%,"1,201.890000","1,198.380000","1,207.150000","983,840","1,182,951,267.261200"
10-Apr-2019,"1,206.450000",+3.760000,+0.312633%,"1,205.090000","1,200.660900","1,208.937700","775,456","934,514,547.500502"
11-Apr-2019,"1,209.590000",+3.140000,+0.260268%,"1,208.900000","1,204.540000","1,212.740000","849,947","1,027,673,685.613700"
12-Apr-2019,"1,222.730000",+13.140000,+1.086319%,"1,215.620000","1,213.290000","1,223.050000","1,215,610","1,482,152,753.763300"
15-Apr-2019,"1,226.530000",+3.800000,+0.310780%,"1,224.090000","1,214.560000","1,229.295000","1,189,974","1,455,519,080.940200"
16-Apr-2019,"1,231.910000",+5.380000,+0.438636%,"1,230.000000","1,225.040000","1,235.980000","1,131,099","1,392,922,095.142100"
17-Apr-2019,"1,240.140000",+8.230000,+0.668068%,"1,237.000000","1,232.900000","1,245.095000","1,518,286","1,882,562,092.014300"
18-Apr-2019,"1,241.470000",+1.330000,+0.107246%,"1,245.000000","1,239.410000","1,245.940000","1,237,788","1,538,179,295.124600"
22-Apr-2019,"1,253.760000",+12.290000,+0.989955%,"1,236.670000","1,233.370000","1,254.340500","954,419","1,190,415,171.729200"
23-Apr-2019,"1,270.590000",+16.830000,+1.342362%,"1,256.640000","1,251.975000","1,274.430000","1,593,449","2,019,918,373.839500"
24-Apr-2019,"1,260.050000",-10.540000,-0.829536%,"1,270.590000","1,259.810000","1,274.000000","1,169,797","1,480,069,377.933900"
25-Apr-2019,"1,267.340000",+7.290000,+0.578548%,"1,270.300000","1,258.000000","1,272.800000","1,567,161","1,985,455,777.157800"
26-Apr-2019,"1,277.420000",+10.080000,+0.795367%,"1,273.380000","1,265.000000","1,278.910000","1,361,419","1,733,547,810.458900"
29-Apr-2019,"1,296.200000",+18.780000,+1.470151%,"1,280.510000","1,271.710000","1,296.975000","3,618,362","4,585,052,672.383400"
30-Apr-2019,"1,198.960000",-97.240000,-7.501929%,"1,190.630000","1,183.000000","1,200.977700","6,658,855","7,942,812,132.265600"
01-May-2019,"1,173.320000",-25.640000,-2.138520%,"1,197.500000","1,171.675000","1,199.250000","3,717,018","4,388,641,153.868000"
02-May-2019,"1,166.510000",-6.810000,-0.580404%,"1,172.600000","1,158.330000","1,179.380000","2,254,890","2,631,305,628.411300"
03-May-2019,"1,189.550000",+23.040000,+1.975122%,"1,177.410000","1,173.545000","1,191.400000","2,079,376","2,462,911,365.719700"
