time,close,high,low,open,volumefrom,volumeto
1550707200,3937.04,4026.54,3900.28,3974.05,47433.87,187314178.85
1550793600,3983.53,3996.15,3917.66,3937.04,43006.55,170405341.81
1550880000,4149.09,4192.39,3948.48,3983.53,57002.5,231174632.28
1550966400,3771.62,4221.62,3755.38,4149.09,80391.72,319071544.94
1551052800,3845.51,3885.06,3771.53,3771.62,48406.42,185036583.31
1551139200,3817.88,3852.66,3791.9,3845.51,33253.08,126868886.89
1551225600,3830.72,3851.84,3699.53,3817.88,46011.1,175069054.72
1551312000,3823.37,3909.86,3798,3830.72,44353.45,170646670.66
1551398400,3831.48,3866.12,3822.67,3823.37,26522.34,101774924.71
1551484800,3842.94,3846.38,3790.74,3831.48,19283.71,73894412.97
1551571200,3812.31,3853.28,3788.04,3842.94,16769.86,64065044.79
1551657600,3731.28,3831.01,3705.14,3812.31,39278.22,147245676.28
1551744000,3874.18,3893.52,3720.49,3731.28,43262.3,165062256.27
1551830400,3874.98,3916.29,3839.39,3874.18,33536.95,129520549.49
1551916800,3882.61,3911.76,3853.2,3874.98,37619.38,146201726.67
1552003200,3868.02,3932.02,3804.98,3882.61,39428.25,153405087.61
1552089600,3947.74,3975.25,3860.66,3868.02,27600.01,108370246.04
1552176000,3929.84,3948.21,3897.82,3947.74,17404.16,68252920.53
1552262400,3874.89,3941.99,3849.45,3929.84,32708.55,126998648.6
1552348800,3888.57,3904.7,3827.23,3874.89,33655.37,130291591.54
1552435200,3878.44,3898.25,3853.06,3888.57,27922.69,108286926.77
1552521600,3881.44,3922.21,3825.03,3878.44,34554.38,133931876.12
1552608000,3927.08,3935.1,3876.17,3881.44,32133.02,125588541.02
1552694400,4027.01,4069.11,3924.98,3927.08,41319.81,166216280.52
1552780800,3998,4030.38,3970.97,4027.01,17033.6,68146133.16
1552867200,3988.85,4038.99,3964.31,3998,27416.92,109428478.54
1552953600,4024.14,4032.04,3972.47,3988.85,29686.2,118919147.36
1553040000,4056.75,4064.95,3995.49,4024.14,36862.09,148490744.9
1553126400,3996.93,4082.29,3953.53,4056.75,44251.52,178077036.22
1553212800,4000.84,4018.21,3984,3996.93,22671.75,90726555.79
1553299200,4007.21,4019.36,3982.47,4000.84,18486.22,74094017.72
1553385600,3994.11,4010.3,3970.35,4007.21,16111.98,64375076.75
1553472000,3924.55,4005.29,3887.68,3994.11,34191.84,136398998.18
1553558400,3942.22,3943.2,3902.52,3924.55,23873.14,93805733.55
1553644800,4045.98,4054.32,3932.79,3942.22,37132.4,149005782.26
1553731200,4036.45,4046.44,4014.69,4045.98,25343.13,102296341.19
1553817600,4111.38,4122.89,4031.22,4036.45,41843.31,170915132.77
1553904000,4118.13,4146.88,4066.87,4111.38,24906.26,102400533.82
1553990400,4112.69,4129.43,4098.79,4118.13,13792.73,56727425.19
1554076800,4151.32,4164.33,4082.2,4112.69,36921.55,152826759.02
1554163200,4906.93,5104.42,4147.7,4151.32,172473.31,814748125.73
1554249600,4976.59,5335.7,4831.59,4906.93,159843.43,809158339.99
1554336000,4913.36,5071.98,4799.77,4976.59,74544.88,370109007.61
1554422400,5047.23,5074.13,4897.61,4913.36,56130.82,280722247.3
1554508800,5057.25,5240.19,4938,5047.23,54180.91,275839573.8
1554595200,5201.16,5266.04,5044.28,5057.25,47200.43,243329883.48
1554681600,5294.09,5347.88,5141.23,5201.16,69803.56,366577921.18
1554768000,5201.3,5294.09,5159.13,5294.09,48552.25,253577595.39
1554854400,5318.6,5460.94,5178.61,5201.3,65813.81,349643837.46
1554940800,5048.56,5343.66,4987.65,5318.6,69622.86,356811374.12
