Date,Bitcoin,Gold,Nvidia
03-04-2019,0.014096425869167817,-0.0023969915500297034,0.030248256274317598
04-04-2019,-0.012786892053183507,0.0019134091623476124,-0.0019104229966648845
05-04-2019,0.026881552459714797,-0.00063868703604264,0.01418762755245151
06-04-2019,0.0019832793541851856,,
07-04-2019,0.02805882033183771,,
08-04-2019,0.0177094264056894,0.004531651026302264,0.0043894097752197325
09-04-2019,-0.017682509695601922,0.0051671555346581854,-0.013279292366658701
10-04-2019,0.02230151648411116,0.0029942434917415994,0.01489433869442447
11-04-2019,-0.05210705671685112,-0.01188411534457856,-0.0029194056810375457
12-04-2019,0.006503439485834761,-0.0018161792050115366,-0.008019961739033299
13-04-2019,-0.0001653191844877,,
14-04-2019,0.016578152033511984,,
