Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
28-Feb-2019,161.450000,-1.360000,-0.835330%,162.370000,160.860000,163.500000,"11,114,185","1,795,856,078.865590"
01-Mar-2019,162.280000,+0.830000,+0.514091%,162.600000,161.690000,163.132000,"11,097,770","1,800,946,397.403590"
04-Mar-2019,167.370000,+5.090000,+3.136554%,163.900000,163.830000,167.500000,"18,894,689","3,134,546,254.364590"
05-Mar-2019,171.260000,+3.890000,+2.324192%,167.370000,166.550000,171.880000,"28,187,890","4,794,724,287.423890"
06-Mar-2019,172.510000,+1.250000,+0.729884%,172.900000,171.270000,173.570000,"21,531,723","3,711,296,674.621190"
07-Mar-2019,169.130000,-3.380000,-1.959307%,171.500000,167.610000,171.740000,"18,306,504","3,102,359,782.572790"
08-Mar-2019,169.600000,+0.470000,+0.277893%,166.200000,165.970000,169.620000,"13,184,831","2,219,527,706.252890"
11-Mar-2019,172.070000,+2.470000,+1.456368%,171.600000,171.580000,174.300000,"18,883,983","3,263,271,525.866390"
12-Mar-2019,171.920000,-0.150000,-0.087174%,172.090000,171.217800,173.800000,"12,155,264","2,092,523,371.387690"
13-Mar-2019,173.370000,+1.450000,+0.843416%,172.320000,172.120000,174.030000,"11,973,280","2,074,310,315.317590"
14-Mar-2019,170.170000,-3.200000,-1.845763%,169.760000,168.160000,171.150000,"18,037,364","3,063,435,812.132990"
15-Mar-2019,165.980000,-4.190000,-2.462244%,167.160000,162.510000,167.580000,"37,126,000","6,148,362,629.074090"
18-Mar-2019,160.470000,-5.510000,-3.319677%,163.570000,159.280000,163.900000,"37,524,191","6,042,435,078.085990"
19-Mar-2019,161.570000,+1.100000,+0.685486%,161.480000,160.820000,163.820000,"25,611,488","4,155,065,902.295790"
20-Mar-2019,165.440000,+3.870000,+2.395247%,161.500000,161.240000,166.120000,"20,211,474","3,317,274,133.033690"
21-Mar-2019,166.080000,+0.640000,+0.386847%,164.890000,163.750000,166.390000,"16,223,007","2,680,160,297.980490"
22-Mar-2019,164.340000,-1.740000,-1.047688%,165.650000,164.090000,167.420000,"16,389,185","2,709,926,023.890090"
25-Mar-2019,166.290000,+1.950000,+1.186564%,163.000000,162.000000,166.540000,"12,631,230","2,081,038,167.654890"
26-Mar-2019,167.680000,+1.390000,+0.835889%,167.350000,166.349900,169.450000,"15,437,920","2,592,503,122.648890"
27-Mar-2019,165.870000,-1.810000,-1.079437%,167.850000,164.790000,168.940000,"10,620,299","1,767,621,780.052490"
28-Mar-2019,165.550000,-0.320000,-0.192922%,164.570000,163.330000,166.720000,"10,689,171","1,767,938,800.029390"
29-Mar-2019,166.690000,+1.140000,+0.688614%,166.390000,164.810000,167.190000,"13,455,454","2,237,932,860.533390"
01-Apr-2019,168.700000,+2.010000,+1.205831%,167.830000,167.278900,168.900000,"10,381,490","1,747,162,740.899190"
02-Apr-2019,174.200000,+5.500000,+3.260225%,170.140000,169.550000,174.900000,"23,946,529","4,149,562,052.734690"
03-Apr-2019,173.540000,-0.660000,-0.378875%,174.500000,172.950000,177.960000,"27,590,058","4,832,828,946.274190"
04-Apr-2019,176.020000,+2.480000,+1.429065%,176.020000,175.530100,178.000000,"17,847,731","3,154,931,465.825660"
05-Apr-2019,175.720000,-0.300000,-0.170435%,176.880000,175.100000,177.000000,"9,594,133","1,686,140,659.620390"
08-Apr-2019,174.930000,-0.790000,-0.449579%,175.210000,174.230000,175.500000,"7,297,379","1,275,240,400.688290"
09-Apr-2019,177.580000,+2.650000,+1.514892%,175.620000,175.550000,179.190000,"19,751,031","3,513,065,772.617890"
10-Apr-2019,177.820000,+0.240000,+0.135150%,178.180000,176.540000,178.790000,"11,701,479","2,077,721,431.317590"
11-Apr-2019,177.510000,-0.310000,-0.174334%,178.240000,177.000000,178.400000,"8,070,967","1,433,916,504.170590"
12-Apr-2019,179.100000,+1.590000,+0.895724%,178.000000,177.950000,179.630000,"12,329,812","2,207,010,019.379890"
15-Apr-2019,179.650000,+0.550000,+0.307091%,178.500000,176.870000,180.500000,"10,834,762","1,940,242,119.405590"
16-Apr-2019,178.870000,-0.780000,-0.434178%,179.000000,178.300000,180.170000,"11,215,193","2,011,735,600.730090"
17-Apr-2019,178.780000,-0.090000,-0.050316%,179.600000,178.360000,180.740000,"9,973,732","1,786,450,721.094590"
18-Apr-2019,178.280000,-0.500000,-0.279673%,178.800000,177.340000,178.880000,"11,655,608","2,076,462,552.703590"
22-Apr-2019,181.440000,+3.160000,+1.772493%,178.250000,178.250000,181.665000,"13,389,889","2,416,723,988.384190"
23-Apr-2019,183.780000,+2.340000,+1.289683%,182.740000,181.480000,184.220000,"19,954,814","3,654,754,140.690090"
24-Apr-2019,182.580000,-1.200000,-0.652955%,184.490000,181.650000,185.140000,"37,289,871","6,944,124,915.251290"
25-Apr-2019,193.260000,+10.680000,+5.849491%,196.980000,192.120000,198.480000,"54,148,789","10,549,240,295.434800"
26-Apr-2019,191.490000,-1.770000,-0.915865%,192.500000,189.090000,192.900000,"22,075,002","4,221,135,144.524890"
29-Apr-2019,194.780000,+3.290000,+1.718105%,190.950000,190.650000,195.410000,"19,641,310","3,811,615,784.431690"
30-Apr-2019,193.400000,-1.380000,-0.708492%,194.190000,192.280000,197.390000,"23,494,689","4,571,472,804.610190"
01-May-2019,193.030000,-0.370000,-0.191313%,194.780000,193.010000,196.176900,"15,996,646","3,111,937,711.576990"
02-May-2019,192.530000,-0.500000,-0.259027%,193.000000,189.750000,194.000000,"13,209,452","2,535,927,295.898390"
03-May-2019,195.470000,+2.940000,+1.527035%,194.380000,193.710000,196.160000,"14,575,434","2,847,181,595.892690"
06-May-2019,193.880000,-1.590000,-0.813424%,191.240000,190.550000,194.280000,"13,994,932","2,701,844,758.296490"
07-May-2019,189.770000,-4.110000,-2.119868%,192.540000,187.850000,192.900000,"16,253,001","3,086,567,963.455590"
08-May-2019,189.540000,-0.230000,-0.121199%,189.390000,188.550000,190.720000,"12,505,737","2,372,361,710.998490"
09-May-2019,188.650000,-0.890000,-0.469558%,187.200000,186.260000,189.770000,"12,967,033","2,440,195,764.768790"
10-May-2019,188.340000,-0.310000,-0.164325%,188.250000,184.590000,190.000000,"12,578,508","2,354,110,628.391490"
13-May-2019,181.540000,-6.800000,-3.610492%,183.500000,180.840000,185.430000,"16,833,347","3,076,835,198.760890"
14-May-2019,180.730000,-0.810000,-0.446183%,182.520000,178.100000,183.490000,"17,628,142","3,188,661,489.950990"
15-May-2019,186.270000,+5.540000,+3.065346%,180.420000,180.020000,187.280000,"16,746,904","3,103,043,804.864490"
16-May-2019,186.990000,+0.720000,+0.386536%,185.050000,185.050000,188.575000,"12,953,111","2,424,000,891.160590"
17-May-2019,185.300000,-1.690000,-0.903792%,184.840000,184.280000,187.580000,"10,485,370","1,949,567,919.836990"
20-May-2019,182.720000,-2.580000,-1.392337%,181.880000,181.370000,184.230000,"10,351,981","1,892,834,988.575490"
