Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
05-Jul-2019,160.230000,-2.520000,-1.548387%,160.400000,157.700000,160.575000,"2,481,548","395,944,034.335000"
08-Jul-2019,157.210000,-3.020000,-1.884791%,157.830000,156.000000,158.530000,"2,245,311","352,854,562.280000"
09-Jul-2019,157.310000,+0.100000,+0.063609%,155.450000,155.000000,158.420000,"2,117,811","332,395,983.460000"
10-Jul-2019,160.060000,+2.750000,+1.748141%,159.060000,158.510000,162.310000,"2,709,016","434,349,510.035000"
11-Jul-2019,166.280000,+6.220000,+3.886043%,163.000000,161.510000,167.920000,"4,281,727","707,913,253.645000"
12-Jul-2019,167.610000,+1.330000,+0.799856%,167.400000,167.400000,170.460000,"3,237,970","545,578,863.870000"
15-Jul-2019,167.270000,-0.340000,-0.202852%,168.460000,166.150000,169.100000,"1,991,890","332,994,379.265000"
16-Jul-2019,167.080000,-0.190000,-0.113589%,166.670000,164.850000,168.150000,"2,200,969","367,072,156.835000"
17-Jul-2019,169.710000,+2.630000,+1.574096%,167.000000,166.000000,169.970000,"2,430,270","410,778,292.515000"
18-Jul-2019,170.180000,+0.470000,+0.276943%,170.060000,167.870000,172.680000,"2,513,775","427,263,950.565000"
19-Jul-2019,168.440000,-1.740000,-1.022447%,171.720000,168.230000,171.980000,"2,836,134","482,338,060.435000"
22-Jul-2019,171.320000,+2.880000,+1.709808%,169.500000,169.020000,171.840000,"2,141,673","365,724,397.065000"
23-Jul-2019,175.660000,+4.340000,+2.533271%,173.030000,172.300000,175.740000,"3,087,542","538,365,279.110000"
24-Jul-2019,178.660000,+3.000000,+1.707845%,177.400000,174.340000,178.890000,"2,779,861","493,122,160.130000"
25-Jul-2019,173.380000,-5.280000,-2.955334%,176.760000,172.440000,177.250000,"3,156,587","549,857,274.255000"
26-Jul-2019,175.070000,+1.690000,+0.974738%,174.470000,174.470000,176.950000,"2,127,933","373,671,448.110000"
29-Jul-2019,174.820000,-0.250000,-0.142800%,174.780000,171.280000,175.460000,"1,656,931","288,359,648.205000"
