Exchange Date,Close,Volume,Net,%Chg,Open,Low,High
24-Sep-2019,"1,531.8000",,+9.9350,+0.6528%,"1,522.0000","1,515.4500","1,535.6000"
23-Sep-2019,"1,521.8650",,+5.1150,+0.3372%,"1,516.4050","1,511.1000","1,526.8000"
20-Sep-2019,"1,516.7500",,+17.7500,+1.1841%,"1,499.2000","1,497.6000","1,516.8101"
19-Sep-2019,"1,499.0000",,+5.3500,+0.3582%,"1,493.4000","1,488.6000","1,504.0000"
18-Sep-2019,"1,493.6500",,-8.5500,-0.5692%,"1,501.1500","1,484.1600","1,511.0000"
17-Sep-2019,"1,502.2000",,+4.3000,+0.2871%,"1,498.5500","1,493.0000","1,507.0031"
16-Sep-2019,"1,497.9000",,+9.4500,+0.6349%,"1,502.6900","1,495.3000","1,511.9065"
13-Sep-2019,"1,488.4500",,-10.2500,-0.6839%,"1,498.2000","1,485.2600","1,508.8091"
12-Sep-2019,"1,498.7000",,+1.4000,+0.0935%,"1,497.2000","1,488.4000","1,523.6123"
11-Sep-2019,"1,497.3000",,+11.8000,+0.7943%,"1,486.1500","1,484.6000","1,498.1145"
10-Sep-2019,"1,485.5000",,-13.1500,-0.8775%,"1,498.7000","1,483.9000","1,501.0000"
09-Sep-2019,"1,498.6500",,-8.0500,-0.5343%,"1,506.8000","1,497.3000","1,515.2000"
06-Sep-2019,"1,506.7000",,-12.4000,-0.8163%,"1,519.0000","1,502.5000","1,527.4484"
05-Sep-2019,"1,519.1000",,-33.2500,-2.1419%,"1,552.2000","1,509.0300","1,553.0000"
04-Sep-2019,"1,552.3500",,+5.6500,+0.3653%,"1,546.8000","1,533.4300","1,557.0000"
03-Sep-2019,"1,546.7000",,+16.3600,+1.0690%,"1,529.3000","1,521.1000","1,549.5000"
02-Sep-2019,"1,530.3400",,+10.4900,+0.6902%,"1,519.8000","1,518.8000","1,533.5160"
30-Aug-2019,"1,519.8500",,-7.5500,-0.4943%,"1,527.2000","1,517.1100","1,533.0000"
29-Aug-2019,"1,527.4000",,-11.4000,-0.7408%,"1,538.9000","1,519.1000","1,550.4000"
28-Aug-2019,"1,538.8000",,-3.5950,-0.2331%,"1,541.3900","1,531.2000","1,546.8000"
27-Aug-2019,"1,542.3950",,+16.3950,+1.0744%,"1,526.0000","1,524.5000","1,544.3820"
26-Aug-2019,"1,526.0000",,-0.1000,-0.0066%,"1,538.9000","1,524.2000","1,554.5600"
23-Aug-2019,"1,526.1000",,+27.5000,+1.8350%,"1,498.8000","1,492.7000","1,529.6766"
22-Aug-2019,"1,498.6000",,-3.4000,-0.2264%,"1,501.9000","1,491.5000","1,504.4000"
21-Aug-2019,"1,502.0000",,-4.8500,-0.3219%,"1,507.4000","1,495.8000","1,508.1000"
20-Aug-2019,"1,506.8500",,+11.8500,+0.7926%,"1,495.3000","1,492.5000","1,508.1366"
19-Aug-2019,"1,495.0000",,-18.7500,-1.2386%,"1,510.7000","1,492.1000","1,512.6000"
16-Aug-2019,"1,513.7500",,-9.2050,-0.6044%,"1,523.6000","1,503.8000","1,527.4000"
15-Aug-2019,"1,522.9550",,+6.8700,+0.4531%,"1,516.4900","1,508.0000","1,526.5085"
14-Aug-2019,"1,516.0850",,+14.9450,+0.9956%,"1,501.1250","1,494.0000","1,523.8503"
13-Aug-2019,"1,501.1400",,-10.0150,-0.6627%,"1,510.3600","1,481.0600","1,534.3074"
12-Aug-2019,"1,511.1550",,+14.3150,+0.9563%,"1,497.2600","1,487.4300","1,517.4591"
09-Aug-2019,"1,496.8400",,-3.1600,-0.2107%,"1,501.0000","1,494.2200","1,508.0000"
08-Aug-2019,"1,500.0000",,-0.8000,-0.0533%,"1,501.0000","1,489.7900","1,509.4000"
07-Aug-2019,"1,500.8000",,+26.9300,+1.8272%,"1,473.8500","1,471.9550","1,510.0000"
06-Aug-2019,"1,473.8700",,+10.2700,+0.7017%,"1,463.8000","1,456.2500","1,474.8092"
05-Aug-2019,"1,463.6000",,+23.1450,+1.6068%,"1,440.4000","1,436.7000","1,469.6000"
02-Aug-2019,"1,440.4550",,-4.6001,-0.3183%,"1,445.4100","1,429.8300","1,447.8043"
01-Aug-2019,"1,445.0551",,+31.5051,+2.2288%,"1,410.9600","1,400.3100","1,445.5600"
31-Jul-2019,"1,413.5500",,-17.0500,-1.1918%,"1,430.6600","1,411.1000","1,432.6930"
30-Jul-2019,"1,430.6000",,+3.9149,+0.2744%,"1,426.4600","1,421.6600","1,432.7809"
29-Jul-2019,"1,426.6851",,+8.3751,+0.5905%,"1,418.7900","1,416.6100","1,428.0000"
26-Jul-2019,"1,418.3100",,+4.1800,+0.2956%,"1,414.2000","1,413.3800","1,424.4100"
25-Jul-2019,"1,414.1300",,-11.6700,-0.8185%,"1,426.2000","1,410.7700","1,433.4600"
24-Jul-2019,"1,425.8000",,+8.8100,+0.6217%,"1,417.1600","1,416.1000","1,429.2000"
23-Jul-2019,"1,416.9900",,-7.7300,-0.5426%,"1,424.7500","1,413.8000","1,428.8500"
22-Jul-2019,"1,424.7200",,-0.1900,-0.0133%,"1,424.7500","1,421.9500","1,429.4255"
19-Jul-2019,"1,424.9100",,-21.0900,-1.4585%,"1,446.0000","1,419.9000","1,452.6000"
18-Jul-2019,"1,446.0000",,+19.4000,+1.3599%,"1,426.6000","1,414.3600","1,448.0000"
17-Jul-2019,"1,426.6000",,+20.6700,+1.4702%,"1,406.2100","1,399.7500","1,426.8000"
16-Jul-2019,"1,405.9300",,-7.7500,-0.5482%,"1,414.2900","1,400.7800","1,418.0283"
