Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
26-Feb-2019,"7,123.216",+7.790,+0.109%,"7,098.968","7,087.144","7,144.650","162,752,040"
27-Feb-2019,"7,117.005",-6.211,-0.087%,"7,095.749","7,045.414","7,125.780","166,319,314"
28-Feb-2019,"7,097.525",-19.480,-0.274%,"7,093.200","7,081.918","7,125.920","231,605,122"
01-Mar-2019,"7,151.572",+54.047,+0.761%,"7,152.076","7,101.068","7,159.960","182,809,977"
04-Mar-2019,"7,150.833",-0.739,-0.010%,"7,193.878","7,073.405","7,205.943","200,622,814"
05-Mar-2019,"7,156.785",+5.952,+0.083%,"7,156.657","7,120.695","7,178.304","181,030,973"
06-Mar-2019,"7,112.468",-44.317,-0.619%,"7,156.245","7,104.550","7,162.239","164,733,543"
07-Mar-2019,"7,026.883",-85.585,-1.203%,"7,089.632","7,001.806","7,097.906","182,755,276"
08-Mar-2019,"7,015.690",-11.193,-0.159%,"6,940.901","6,940.723","7,018.919","177,748,826"
11-Mar-2019,"7,164.020",+148.330,+2.114%,"7,050.046","7,049.557","7,166.925","171,045,098"
12-Mar-2019,"7,201.281",+37.261,+0.520%,"7,176.234","7,166.946","7,219.408","175,014,712"
13-Mar-2019,"7,256.982",+55.701,+0.773%,"7,231.053","7,229.883","7,292.864","199,868,652"
14-Mar-2019,"7,243.014",-13.968,-0.192%,"7,257.312","7,240.961","7,267.936","195,337,666"
15-Mar-2019,"7,306.987",+63.973,+0.883%,"7,274.135","7,265.635","7,331.295","456,550,379"
18-Mar-2019,"7,326.281",+19.294,+0.264%,"7,311.634","7,293.852","7,348.689","179,297,335"
19-Mar-2019,"7,349.278",+22.997,+0.314%,"7,357.581","7,321.925","7,390.286","236,909,445"
20-Mar-2019,"7,380.754",+31.476,+0.428%,"7,348.993","7,318.423","7,422.755","202,539,841"
21-Mar-2019,"7,493.269",+112.515,+1.524%,"7,356.941","7,356.941","7,505.407","220,564,567"
22-Mar-2019,"7,326.057",-167.212,-2.231%,"7,458.440","7,323.516","7,482.354","219,570,237"
25-Mar-2019,"7,316.958",-9.099,-0.124%,"7,299.933","7,265.276","7,342.508","168,622,987"
26-Mar-2019,"7,351.150",+34.192,+0.467%,"7,378.234","7,314.376","7,417.261","172,866,742"
27-Mar-2019,"7,308.193",-42.957,-0.584%,"7,364.473","7,252.064","7,376.989","178,217,600"
28-Mar-2019,"7,320.472",+12.279,+0.168%,"7,325.059","7,277.694","7,346.039","138,739,964"
29-Mar-2019,"7,378.771",+58.299,+0.796%,"7,377.768","7,333.168","7,381.690","201,372,548"
01-Apr-2019,"7,478.416",+99.645,+1.350%,"7,450.812","7,422.435","7,481.840","166,954,063"
02-Apr-2019,"7,499.639",+21.223,+0.284%,"7,473.508","7,461.511","7,507.054","152,974,626"
03-Apr-2019,"7,544.972",+45.333,+0.604%,"7,538.170","7,520.401","7,589.690","218,596,952"
04-Apr-2019,"7,540.568",-4.404,-0.058%,"7,542.156","7,496.300","7,571.129","164,960,098"
05-Apr-2019,"7,578.840",+38.272,+0.508%,"7,564.268","7,554.908","7,581.897","147,627,035"
08-Apr-2019,"7,599.742",+20.902,+0.276%,"7,565.057","7,536.422","7,602.080","141,438,341"
09-Apr-2019,"7,568.486",-31.256,-0.411%,"7,571.884","7,555.624","7,596.751","154,643,094"
10-Apr-2019,"7,611.488",+43.002,+0.568%,"7,581.390","7,573.280","7,613.409","135,379,651"
11-Apr-2019,"7,594.890",-16.598,-0.218%,"7,621.400","7,580.705","7,621.400","128,381,747"
12-Apr-2019,"7,628.150",+33.260,+0.438%,"7,624.148","7,596.565","7,630.516","139,849,373"
15-Apr-2019,"7,629.120",+0.970,+0.013%,"7,630.603","7,578.543","7,636.805","129,616,332"
16-Apr-2019,"7,654.731",+25.611,+0.336%,"7,651.185","7,631.641","7,670.402","165,459,124"
17-Apr-2019,"7,680.718",+25.987,+0.339%,"7,705.317","7,659.854","7,715.070","198,939,241"
18-Apr-2019,"7,689.715",+8.997,+0.117%,"7,688.933","7,647.402","7,694.182","188,479,070"
22-Apr-2019,"7,713.495",+23.780,+0.309%,"7,658.370","7,653.887","7,715.326","129,116,879"
23-Apr-2019,"7,810.706",+97.211,+1.260%,"7,724.169","7,719.093","7,819.336","171,311,565"
24-Apr-2019,"7,784.413",-26.293,-0.337%,"7,813.016","7,783.589","7,827.049","180,437,858"
25-Apr-2019,"7,816.919",+32.506,+0.418%,"7,850.713","7,778.229","7,851.975","192,123,019"
26-Apr-2019,"7,826.679",+9.760,+0.125%,"7,791.151","7,742.597","7,826.889","187,504,148"
29-Apr-2019,"7,839.038",+12.359,+0.158%,"7,825.635","7,812.968","7,851.852","143,979,617"
30-Apr-2019,"7,781.456",-57.582,-0.735%,"7,769.299","7,726.068","7,792.316","195,630,671"
01-May-2019,"7,751.847",-29.609,-0.381%,"7,828.140","7,749.740","7,851.034","186,856,503"
02-May-2019,"7,724.056",-27.791,-0.359%,"7,751.635","7,672.544","7,791.506","182,849,954"
03-May-2019,"7,845.729",+121.673,+1.575%,"7,784.286","7,772.444","7,847.518","168,292,543"
06-May-2019,"7,794.093",-51.636,-0.658%,"7,662.924","7,662.924","7,804.545","170,541,589"
07-May-2019,"7,640.149",-153.944,-1.975%,"7,713.490","7,572.613","7,743.058","234,695,916"
08-May-2019,"7,617.550",-22.599,-0.296%,"7,623.322","7,593.750","7,678.819","182,203,080"
09-May-2019,"7,582.746",-34.804,-0.457%,"7,525.808","7,472.711","7,605.034","200,565,960"
10-May-2019,"7,586.531",+3.785,+0.050%,"7,556.042","7,426.754","7,623.013","198,033,913"
13-May-2019,"7,324.132",-262.399,-3.459%,"7,385.550","7,303.644","7,433.919","253,311,106"
14-May-2019,"7,401.884",+77.752,+1.062%,"7,366.640","7,337.939","7,449.025","185,929,423"
15-May-2019,"7,503.246",+101.362,+1.369%,"7,354.823","7,353.901","7,524.223","172,931,390"
16-May-2019,"7,580.142",+76.896,+1.025%,"7,509.905","7,502.763","7,627.028","189,213,843"
17-May-2019,"7,503.680",-76.462,-1.009%,"7,513.153","7,496.923","7,605.669","212,216,591"
20-May-2019,"7,376.703",-126.977,-1.692%,"7,391.727","7,351.922","7,424.586","211,416,184"
21-May-2019,"7,451.020",+74.317,+1.007%,"7,442.306","7,417.073","7,472.706","164,744,530"
22-May-2019,"7,420.656",-30.364,-0.408%,"7,413.841","7,410.715","7,458.111","153,964,747"
23-May-2019,"7,307.933",-112.723,-1.519%,"7,331.674","7,261.457","7,337.471","218,844,517"
24-May-2019,"7,300.961",-6.972,-0.095%,"7,353.974","7,294.100","7,371.299","143,590,379"
28-May-2019,"7,278.376",-22.585,-0.309%,"7,321.266","7,274.697","7,362.289","293,463,651"
29-May-2019,"7,216.859",-61.517,-0.845%,"7,222.551","7,176.668","7,254.197","195,444,438"
30-May-2019,"7,245.403",+28.544,+0.396%,"7,234.826","7,204.417","7,262.774","135,812,140"
